1.0;4.934802345647595;23608
2.0;4.9348023381401696;33782
1.0;4.934802345647595;26315
2.0;4.9348023381401696;30316
1.0;4.934802345647595;9895
2.0;4.9348023381401696;11448
3.0;4.934802335637692;26199
4.0;4.934802334418287;9571
1.0;4.934802345647595;1445
2.0;4.9348023381401696;1003
3.0;4.934802335637692;771
4.0;4.934802334418287;594
5.0;4.9348025850433785;578
6.0;4.934802333232533;564
7.0;4.934802579719193;602
8.0;4.934801527593923;561
9.0;4.934801773925454;581
10.0;4.934801531163145;582
11.0;4.934803060412633;573
12.0;4.93480233202995;588
13.0;4.934802573599656;582
14.0;4.934801052781303;594
15.0;4.934803776922069;562
16.0;4.9348032938441655;600
17.0;4.93480281215751;591
18.0;4.934803771527115;568
19.0;4.934802571342422;599
20.0;4.934801373366529;597
21.0;4.934801059920794;595
22.0;4.934800582189899;558
23.0;4.934802570492819;570
24.0;4.934799628354212;588
25.0;4.9348049577800195;618
26.0;4.934799630824995;585
27.0;4.9347996319239735;586
28.0;4.934804238743122;599
29.0;4.934802807984871;605
30.0;4.934803760737953;513
31.0;4.934798682997071;581
32.0;4.93480328357887;582
33.0;4.934803045267948;575
34.0;4.934802807116236;530
35.0;4.934802569108866;526
36.0;4.934799639063485;617
37.0;4.934806135097422;570
38.0;4.934798214073333;516
39.0;4.934799640711318;526
40.0;4.934801380862261;590
41.0;4.934801618580326;574
42.0;4.934800906240662;589
43.0;4.93479750553693;614
44.0;4.93480043192598;554
45.0;4.9348037553432516;566
46.0;4.934797270451778;504
47.0;4.934802331140963;581
48.0;4.934799644418399;522
49.0;4.934805889463243;619
50.0;4.93479917068064;598
1.0;4.934802345647595;1569
2.0;4.9348023381401696;824
3.0;4.934802335637692;1002
4.0;4.934802334418287;589
5.0;4.9348025850433785;562
6.0;4.934802333232533;564
7.0;4.934802579719193;573
8.0;4.934801527593923;565
9.0;4.934801773925454;612
10.0;4.934801531163145;613
11.0;4.934803060412632;604
12.0;4.93480233202995;583
13.0;4.934802573599656;657
14.0;4.934801052781303;580
15.0;4.93480377692207;551
16.0;4.934803293844166;580
17.0;4.934802812157509;660
18.0;4.934803771527116;612
19.0;4.934802571342422;587
20.0;4.934801373366528;657
21.0;4.934801059920793;607
22.0;4.934800582189899;591
23.0;4.934802570492819;534
24.0;4.934799628354212;597
25.0;4.934804957780019;693
26.0;4.934799630824995;546
27.0;4.934799631923973;548
28.0;4.934804238743122;543
29.0;4.934802807984871;610
30.0;4.934803760737953;627
31.0;4.934798682997071;620
32.0;4.93480328357887;559
33.0;4.934803045267949;539
34.0;4.934802807116237;583
35.0;4.934802569108867;582
36.0;4.934799639063485;588
37.0;4.934806135097422;556
38.0;4.934798214073334;548
39.0;4.934799640711318;545
40.0;4.93480138086226;600
41.0;4.934801618580327;516
42.0;4.934800906240662;591
43.0;4.934797505536929;662
44.0;4.93480043192598;616
45.0;4.9348037553432516;696
46.0;4.934797270451778;582
47.0;4.934802331140964;705
48.0;4.9347996444183995;1195
49.0;4.934805889463245;842
